CATEGORY_1_NAME,CATEGORY_1_ID,CATEGORY_1_IMAGES,CATEGORY_2_NAME,CATEGORY_2_ID,CATEGORY_2_IMAGES,PRODUCT_TYPE,PRODUCT_ID,PARENT_ID,SKU,PRODUCT_NAME,PRODUCT_DESCRIPTION,ORIGINAL_PRICE,SELLING_PRICE,PRICE_RANGE,BRAND,VARIANT_COLOR,VARIANT_SIZE,VARIANT_PREPARATION,FULL_SIZE_IMAGES,PRODUCT_DETAILS,LOCATION_ID,ONHAND,TEMP_PRODIDS
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_pitcher12,,sku_pitcher12,Milk Frothing Pitcher 12 oz ,The cappuccino pitcher is the perfect size for making a cappuccino. This 12 oz. stainless steel milk frothing pitcher is the perfect complement to your espresso machine.,200,100,$100.00-$249.99,1st in Coffee,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/12oz-pitcher.jpg| ,"<br /><br />• 12-ounce capacity<br />• Made of high quality 18/8 stainless steel<br />• Molded pouring spout and sturdy handle<br />• Perfect for preparing cappuccino and lattes<br />• 12 oz. Frothing Pitcher Height: 3.75""<br /><br />",wh2-boston,1000,
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_pitcher20,,sku_pitcher20,Milk Frothing Pitcher 20 oz ,Stainless 20 oz. Milk Steaming Pitcher is perfect for frothing milk for cappuccino and latte.,20,20,$10.00-$24.99,1st in Coffee,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/20oz-pitcher.jpg| ,"<br /><br />20 oz. Capacity<br />18/8 Stainless steel<br />This 20-oz. forthing pitcher is 4.5"" High<br />",wh2-boston,1000,
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_brush,,sku_brush,Group Cleaning Brush,Ergonomic shape for easy use and effective cleaning. Keeping your espresso machine clean keeps your espresso tasting great.,6.95,6.95,$0.00-$9.99,1st in Coffee,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/brush.jpg| ,<br /><br />Ergonomic shape for easy use and effective cleaning.<br /><br />,wh2-boston,1000,
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_500l,,sku_500l,Stainless Steel Knock box,"This stainless steel Knockbox is commercial grade perfect for home or restaurant use. Made of heavy 18/8 stainless steel. Mounted in a removable non-slip rubber base. 11"" x 7"" x 5"" high.",59.99,59.99,$50.00-$99.99,1st in Coffee,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/steel-knockbox.jpg| ,"<br /><br />This stainless steel Knock box is commercial grade perfect for home or restaurant use. Made of heavy 18/8 stainless steel. Mounted in a removable non-slip rubber base. 11"" x 7"" x 5"" high.<br />",wh2-boston,1000,
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_60,,sku_60,Stainless Steel Round Knock Box,This stainless steel knock box is perfect for the home espresso enthusiast. It is the perfect compliment to any espresso machine. It provides an easy way to dispense used coffee grinds. Easy to clean. Dimensions are 5 1/2 inches round and 6 1/4 inches tall.,29.99,29.99,$25.00-$49.99,1st in Coffee,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/knockbox.jpg| ,<br /><br />This stainless steel knock box is perfect for the home espresso enthusiast.<br />,wh2-boston,1000,
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_1964,,sku_1964,Bodum Chambord Milk Frother,The 5 oz. Bodum Chambord Milk Frother makes frothing milk quick and easy. Enjoy hassle free cappuccino at home.,24.99,24.99,$10.00-$24.99,Bodum,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/chambord-milk-frother.jpg| ,<br /><br />The 5 oz. Bodum Chambord Milk Frother makes frothing milk quick and easy. Enjoy hassle free cappuccino at home.<br />,wh2-boston,1000,
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_cfl077,,sku_cfl077,Cafelat Group Cleaning Brush,The Cafelat Group Cleaning Brush is designed to clean a 58 mm group found on many commercial and prosumer espresso machines. The brush locks into the group like the portafiler to thoroughly clean hard to reach areas of the group.,16.2,16.2,$10.00-$24.99,Cafelat,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/brush_1.jpg| ,<br /><br />Keeping the group of your espresso machine is vital to the quality of the espresso produce. The Cafelat 58 mm Group Cleaning Brush is t he perfect tool for preventing the build up of coffee and oils which can cause unpleasant flavors in your coffee. An extra pair of natural fiber bristles are included&#44; along with complete cleaning instructions.<br />,wh2-boston,1000,
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_cfl203,,sku_cfl203,Cafelat Tamping Mat,The Cafelat Tamping Mat is the perfect accessory for your espresso preparation area. The non-slip mats lays flat on your counter top and is made of durable FDA silicone.,17.5,17.5,$10.00-$24.99,Cafelat,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/mat.jpg| ,"<br /><br />Organize your barista station more efficiently with the Cafelat Tamping Mat. The non-slip mat protects your worktop and portafilter. Position the mat near your grinder and it will also collect stray coffee grinds from messy dosers.<br />8 1/4"" x 5 3/4""<br />",wh2-boston,1000,
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_cfl078,,sku_cfl078,Cafelat Microfibre Cloths,The Cafelat Microfibre Cloths are perfect for cleaning a wide variety of surfaces. Best used dry or slightly wet&#44; they will bring out the shine on your espresso machine. Ideal for chrome and stainless steel surfaces. 4 cloths per pack.,19.6,19.6,$10.00-$24.99,Cafelat,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/cloths.jpg| ,"<br /><br />Microfibre Cloths<br />4 Cloths&#44; 12"" Square<br />",wh2-boston,1000,
ACCESSORIES,accessories,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+images/accessories.png,BARISTA SUPPLIES,baristasupplies,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee+category+thumb+images/barista+supplies+thumb.png,REGULAR,prod_id_cet58f,,sku_cet58f,Cafelat 58mm Tamper,The Cafelat 58mm Tamper is comprised of a 58mm stainless steel base and a wood handle made from sustainable rubber trees.,34.95,34.95,$25.00-$49.99,Cafelat,,,,https://caas-demo-products.s3.amazonaws.com/b2c-accelerator/Coffeefy/1stincoffee_images/cafelat-tamper.jpg| ,<br /><br />High quality and economically priced&#44; the Cafelat Tamper features a 58 mm stainless steel base. The rubber wood handle is designed for long lasting and comfortable use.<br />,wh2-boston,1000,
